id,tên,desc thành phần,giá,image,note
1,Bánh bông lan chuối yến mạch 500g,"Bột mì trắng 85%(Vimaflour), bột yến mạch nguyên hạt 15% (Quaker) trứng gà tươi (Metro), chuối tiêu (25%), đường kính (Vinasugar1), sữa tươi (TH True milk), sữa bột (Synlait - Newzeland), dầu ăn (Tường An)...",65.000đ,banhchuoi.jpg,Bánh hoàn toàn không dùng chất bảo quản. Lưu ý: Bánh không dùng cho người tiểu đường.
2,Bánh bao thập cẩm 2 trứng cút,"Bột mì trắng (Vimaflour), đường kính, muối, nấm men (Lesaffre), bột nở, nhân thịt thập cẩm (thịt heo - Metro), miến, mộc nhĩ, nấm hương, dầu Tường An, hành, nước mắm, dầu hào), trứng chim cút.",22.000đ,thapcam2trungcut.jpg,Bánh hoàn toàn không dùng chất bảo quản
3,Bánh bao gà nấm phomai,"Bột mì trắng (Vimaflour), đường (Vinasugar1), nấm men (Lesaffre), bột nở, thịt gà, nấm hương, phomai cream cheese (Anchor), dầu hào, xì dầu, bột ngô….",24.000đ,ganam.jpg,Bánh hoàn toàn không dùng chất bảo quản
4,Bánh bao xá xíu Thượng Hải,"Bột mì trắng (Vimaflour), đường (Vinasugar1), nấm men (Lesaffre), bột nở, nhân thịt xá xíu (thịt heo Metro, rau mùi, vừng, xì dầu, tương, chao, ngũ vị hương, ớt, dầu Tường An, hành, tỏi, bột ngô, màu thực phẩm - Nhất Hương)...",24.000đ,xxth.jpg,Bánh hoàn toàn không dùng chất bảo quản
5,Bánh bao hải sản Pesto,"Thịt lợn, tôm tươi, thanh cua, phomai Morazzela, phomai Anchor, kem tươi Anchor, bột mì, đường, nấm men, bột nở, sốt Pesto (lá húng tây, oregano, hạt óc chó, phomai…).",29.000đ,haisanpesto.jpg,Bánh hoàn toàn không dùng chất bảo quản
6,Bánh bao chay vỏ cốm tươi không nhân,"Bột mì trắng (Vimaflour), cốm tươi (10% trong bột), đường kính (Vinasugar1), muối, nấm men, bột nở, lá dứa tươi, sữa bột (Newzeland)…",15.000đ,comtuoi.jpg,"Bánh hoàn toàn không dùng chất bảo quản, hương liệu, phẩm màu"
7,Bánh bao bò sốt tiêu,"Bột mì (Vimaflour), đường (Vinasugar1), nấm men (Lesaffre), bột nở, nhân thịt bò (thịt bắp bò Metro), hạt tiêu, dầu hào, xì dầu, sốt tiêu đen, dầu ăn, hành, tỏi, bột bắp)...",27.000đ,bosottieu.jpg,Bánh hoàn toàn không dùng chất bảo quản
8,Bánh bao xá xíu trứng muối,"Bột mì (Vimaflour), đường (Vinasugar1), nấm men (Lesaffre), trứng vịt muối, bột nở, nhân thịt xá xíu (thịt heo Metro, rau mùi, vừng, xì dầu, tương, chao, ngũ vị hương, ớt, dầu Tường An, hành, tỏi, bột ngô, màu thực phẩm - Nhất Hương)...",26.000đ,xxtrungmuoi.jpg,Bánh hoàn toàn không dùng chất bảo quản
9,Bánh bao xá xíu phomai,"Bột mì (Vimaflour), đường (Vinasugar1), nấm men (Lesaffre), trứng vịt muối, bột nở, nhân thịt xá xíu (thịt heo Metro, phomai Mozzarella, rau mùi, vừng, xì dầu, tương, chao, ngũ vị hương, ớt, dầu Tường An, hành, tỏi, bột ngô, màu thực phẩm - Nhất Hương)...",27.000đ,xxphomai.jpg,Bánh hoàn toàn không dùng chất bảo quản
10,Bánh bao thập cẩm lạp xưởng,"Bột mì (Vimaflour), đường, muối, nấm men (Lesaffre), bột nở, nhân thịt thập cẩm (thịt heo - Metro, miến, mộc nhĩ, nấm hương, dầu Tường An, hành, nước mắm, dầu hào), lạp xưởng.",22.000đ,thapcamlapxuong.jpg,Bánh hoàn toàn không dùng chất bảo quản
11,Bánh bao gà nấm bột nguyên cám,"Bột mì nguyên cám (35%), Bột mì trắng (65%), đường (Vinasugar1), nấm men (Lesaffre), bột nở, thịt gà, nấm hương, phomai cream cheese (Anchor), dầu hào, xì dầu, hạt ngô nếp….",25.000đ,ganamnguyencam.jpg,Bánh hoàn toàn không dùng chất bảo quản
12,Bánh bao bò phomai,"Thịt (bò 75%, lợn 25%), Sốt cà chua, Bột mì, đường, nấm men, bột nở, dầu hào, xì dầu, dầu ăn, tỏi, bột bắp)...",29.000đ,bophomai.jpg,Bánh hoàn toàn không dùng chất bảo quản
13,Bánh bao xúc xích phomai,"Phomai Mozzarella, cream chesse Anchor, xúc xích Đức Việt, bột mì, đường, nấm men, bột nở...",24.000đ,xucxichphomai.jpg,Bánh hoàn toàn không dùng chất bảo quản
14,Bánh bao bò phomai nguyên cám,"Thịt (bò 80%, lợn 20%), Sốt cà chua, Bột mì nguyên cám (35%), Bột mì trắng (65%) đường, nấm men, bột nở, dầu hào, xì dầu, dầu ăn, tỏi, bột bắp)...",29.000đ,phomainguyencam.jpg,Bánh hoàn toàn không dùng chất bảo quản
15,Bánh bao thập cẩm đặc biệt,"Bột mì trắng (Vimaflour), đường, muối, nấm men (Lesaffre), bột nở, nhân thịt thập cẩm (thịt heo - Metro, miến, mộc nhĩ, nấm hương, dầu Tường An, hành, nước mắm, dầu hào), trứng vịt muối, trứng chim cút, lạp xưởng.",27.000đ,thapcamdacbiet.jpg,Bánh hoàn toàn không dùng chất bảo quản
16,Bánh bao chay nguyên cám,"Bột mì nguyên cám (35%), Bột mì trắng (65%) đường, nấm men, bột nở.",12.000đ,chaynguyencam.jpg,Bánh hoàn toàn không dùng chất bảo quản
17,Bánh bao Cadé trứng muối,"Bánh bao nhân ngọt, trứng chảy, trứng muối xay mịn trộn cùng nhân. Bánh 60g.",15.000đ,cadetrungmuoi.jpg,
18,Bánh bao Chocolate phomai,Bánh bao Chocolate kết hợp 02 loại phomai nguyên chât 55% đặc biêt thơm ngon.,19.000đ,chocolatephomai.jpg,
19,Bánh bao rau củ phomai,"Bánh gồm creame cheese, phomai Mozzarella, rau củ tổng hợp.",18.000đ,raucuphomai.jpg,
20,Bánh bao sữa chua phomai,,19.000đ,suachuaphofai.jpg,
21,Bánh bao chay trắng,"Bột mì trắng, đường trắng tinh luyện, muối, men.",9.000đ,chaytrang.jpg,
22,Bánh bao cốm xào,"Cốm tươi nguyên chất xào với dừa tươi, hương vị rất thơm ngon.",20.000đ,com xao.jpg,
23,Bánh bao đậu xanh hạt sen,"Bánh bao gồm đậu xanh xay nhuyễn, hạt sen hầm nhừ, mứt bí, đường kính, bột mì trắng.",16.000đ,dauxanhhatsen.jpg,Bánh không dùng hương liệu hay chất bảo quản.